2013-03-01 14:54:09 INFO  ReliabilityEvaluation:89 - Initiating RELIABILITY Evaluation
2013-03-01 14:54:16 INFO  ReliabilityEvaluation:120 - --------------------------------------------
2013-03-01 14:54:16 INFO  ReliabilityEvaluation:121 - --------------------------------------------
2013-03-01 14:54:16 INFO  ReliabilityEvaluation:122 - Starting reliability evaluation. WITHOUT FT.
2013-03-01 14:54:16 INFO  ReliabilityEvaluation:123 - --------------------------------------------
2013-03-01 14:54:16 INFO  ReliabilityEvaluation:124 - --------------------------------------------
2013-03-01 14:54:16 INFO  ReliabilityEvaluation:126 - Reliability set at 100
Starting evaluation with 1000 parallel requests
2013-03-01 14:54:16 INFO  ReliabilityEvaluation:53 - 0, 1, 49
2013-03-01 14:54:17 INFO  ReliabilityEvaluation:53 - 1, 1, 45
2013-03-01 14:54:17 INFO  ReliabilityEvaluation:53 - 2, 1, 56
2013-03-01 14:54:17 INFO  ReliabilityEvaluation:53 - 3, 1, 54
2013-03-01 14:54:17 INFO  ReliabilityEvaluation:53 - 4, 1, 53
2013-03-01 14:54:17 INFO  ReliabilityEvaluation:53 - 5, 1, 46
2013-03-01 14:54:17 INFO  ReliabilityEvaluation:53 - 6, 1, 45
2013-03-01 14:54:17 INFO  ReliabilityEvaluation:53 - 7, 1, 48
2013-03-01 14:54:17 INFO  ReliabilityEvaluation:53 - 8, 1, 45
2013-03-01 14:54:17 INFO  ReliabilityEvaluation:53 - 9, 1, 44
2013-03-01 14:54:17 INFO  ReliabilityEvaluation:53 - 10, 1, 53
2013-03-01 14:54:17 INFO  ReliabilityEvaluation:53 - 11, 1, 45
2013-03-01 14:54:18 INFO  ReliabilityEvaluation:53 - 12, 1, 50
2013-03-01 14:54:18 INFO  ReliabilityEvaluation:53 - 13, 1, 41
2013-03-01 14:54:18 INFO  ReliabilityEvaluation:53 - 14, 1, 46
2013-03-01 14:54:18 INFO  ReliabilityEvaluation:53 - 15, 1, 44
2013-03-01 14:54:18 INFO  ReliabilityEvaluation:53 - 16, 1, 42
2013-03-01 14:54:18 INFO  ReliabilityEvaluation:53 - 17, 1, 43
2013-03-01 14:54:18 INFO  ReliabilityEvaluation:53 - 18, 1, 49
2013-03-01 14:54:18 INFO  ReliabilityEvaluation:53 - 19, 1, 44
2013-03-01 14:54:18 INFO  ReliabilityEvaluation:53 - 20, 1, 52
2013-03-01 14:54:18 INFO  ReliabilityEvaluation:53 - 21, 1, 50
2013-03-01 14:54:19 INFO  ReliabilityEvaluation:53 - 22, 1, 48
2013-03-01 14:54:19 INFO  ReliabilityEvaluation:53 - 23, 1, 53
2013-03-01 14:54:19 INFO  ReliabilityEvaluation:53 - 24, 1, 53
2013-03-01 14:54:19 INFO  ReliabilityEvaluation:53 - 25, 1, 52
2013-03-01 14:54:19 INFO  ReliabilityEvaluation:53 - 26, 1, 53
2013-03-01 14:54:19 INFO  ReliabilityEvaluation:53 - 27, 1, 49
2013-03-01 14:54:19 INFO  ReliabilityEvaluation:53 - 28, 1, 46
2013-03-01 14:54:19 INFO  ReliabilityEvaluation:53 - 29, 1, 46
2013-03-01 14:54:19 INFO  ReliabilityEvaluation:53 - 30, 1, 44
2013-03-01 14:54:19 INFO  ReliabilityEvaluation:53 - 31, 1, 55
2013-03-01 14:54:20 INFO  ReliabilityEvaluation:53 - 32, 1, 43
2013-03-01 14:54:20 INFO  ReliabilityEvaluation:53 - 33, 1, 52
2013-03-01 14:54:20 INFO  ReliabilityEvaluation:53 - 34, 1, 54
2013-03-01 14:54:20 INFO  ReliabilityEvaluation:53 - 35, 1, 43
2013-03-01 14:54:20 INFO  ReliabilityEvaluation:53 - 36, 1, 43
2013-03-01 14:54:20 INFO  ReliabilityEvaluation:53 - 37, 1, 43
2013-03-01 14:54:20 INFO  ReliabilityEvaluation:53 - 38, 1, 51
2013-03-01 14:54:20 INFO  ReliabilityEvaluation:53 - 39, 1, 52
2013-03-01 14:54:20 INFO  ReliabilityEvaluation:53 - 40, 1, 52
2013-03-01 14:54:20 INFO  ReliabilityEvaluation:53 - 41, 1, 50
2013-03-01 14:54:21 INFO  ReliabilityEvaluation:53 - 42, 1, 51
2013-03-01 14:54:21 INFO  ReliabilityEvaluation:53 - 43, 1, 50
2013-03-01 14:54:21 INFO  ReliabilityEvaluation:53 - 44, 1, 49
2013-03-01 14:54:21 INFO  ReliabilityEvaluation:53 - 45, 1, 49
